species,volume,reference
Deinococcus radiodurans,2.70,"Gonzalez-de-Salceda and Garcia-Pichel, 2021. The allometry of cellular DNA and ribosomal gene content among microbes and its use for the assessment of microbiome community structure"
Azotobacter vinelandii,5.30,"Gonzalez-de-Salceda and Garcia-Pichel, 2021. The allometry of cellular DNA and ribosomal gene content among microbes and its use for the assessment of microbiome community structure"
Methanosarcina acetivorans,6.37,"Gonzalez-de-Salceda and Garcia-Pichel, 2021. The allometry of cellular DNA and ribosomal gene content among microbes and its use for the assessment of microbiome community structure"
Synechocystis sp. PCC 6803,7.00,"Gonzalez-de-Salceda and Garcia-Pichel, 2021. The allometry of cellular DNA and ribosomal gene content among microbes and its use for the assessment of microbiome community structure"
Haloferax volcanii,11.39,"Gonzalez-de-Salceda and Garcia-Pichel, 2021. The allometry of cellular DNA and ribosomal gene content among microbes and its use for the assessment of microbiome community structure"
Nostoc sp. PCC 7120,16.60,"Gonzalez-de-Salceda and Garcia-Pichel, 2021. The allometry of cellular DNA and ribosomal gene content among microbes and its use for the assessment of microbiome community structure"
Azotobacter chroococcum,187.00,"Gonzalez-de-Salceda and Garcia-Pichel, 2021. The allometry of cellular DNA and ribosomal gene content among microbes and its use for the assessment of microbiome community structure"
Anabaena cylindrica,316.00,"Gonzalez-de-Salceda and Garcia-Pichel, 2021. The allometry of cellular DNA and ribosomal gene content among microbes and its use for the assessment of microbiome community structure"
Pseudomonas putida,2.09,"Gonzalez-de-Salceda and Garcia-Pichel, 2021. The allometry of cellular DNA and ribosomal gene content among microbes and its use for the assessment of microbiome community structure"
Methanococcus maripaludis,1.50,"Gonzalez-de-Salceda and Garcia-Pichel, 2021. The allometry of cellular DNA and ribosomal gene content among microbes and its use for the assessment of microbiome community structure"
Streptococcus pneumoniae,0.54,"Gonzalez-de-Salceda and Garcia-Pichel, 2021. The allometry of cellular DNA and ribosomal gene content among microbes and its use for the assessment of microbiome community structure"
Salmonella enterica,0.63,"Gonzalez-de-Salceda and Garcia-Pichel, 2021. The allometry of cellular DNA and ribosomal gene content among microbes and its use for the assessment of microbiome community structure"
Staphylococcus aureus,0.52,"Gonzalez-de-Salceda and Garcia-Pichel, 2021. The allometry of cellular DNA and ribosomal gene content among microbes and its use for the assessment of microbiome community structure"
Lactococcus lactis,0.60,"Gonzalez-de-Salceda and Garcia-Pichel, 2021. The allometry of cellular DNA and ribosomal gene content among microbes and its use for the assessment of microbiome community structure"
Corynebacterium glutamicum,0.48,"Gonzalez-de-Salceda and Garcia-Pichel, 2021. The allometry of cellular DNA and ribosomal gene content among microbes and its use for the assessment of microbiome community structure"
Sphingopyxis alaskensis,1.35E-18,"Dethlefsen, L. & Schmidt, T. M. Performance of the translational apparatus varies with the ecological strategies of bacteria. Journal of bacteriology 189, 3237-3245 (2007)."
